UserId,Variant,TotalEvents,ActiveDays,SessionCount,BetsPlaced,BetAttempts,OutcomeSelections,CasinoSpins,NearMissCount,PageViews,OutcomeRemovedCount,ConfirmCancelled,Deposits,ClusterID,ClusterName
0192cc80-656c-46f4-a092-118f895b5162,Ethical,129,4,5,10,11,19,0,0,37,0,1,0,3,Recreational
223f3159-6beb-4f7e-a535-707daa1a2f44,Dark,472,4,6,11,11,21,161,24,35,0,0,0,2,Highly Engaged
27449488-f645-4afb-8574-6a2a866b48f4,Dark,229,5,5,9,9,15,61,8,25,0,0,1,3,Recreational
36aaad1d-8604-4a99-a4a7-f03b15e839df,Dark,107,3,4,1,1,1,34,6,11,0,0,0,1,Prudent
36e9cf9e-9437-4894-9ae5-595d95117bc1,Ethical,147,4,5,11,12,21,0,0,44,0,1,1,3,Recreational
3d2fb460-6aa3-4d4a-b52c-880aa756dda1,Ethical,240,6,12,14,16,21,20,0,48,0,2,2,4,Engaged
3db6425f-73e7-4f7f-ab88-1134e097fd5b,Dark,296,5,8,19,19,38,46,12,58,0,0,1,4,Engaged
4500baff-cb06-46d3-ba87-68cc617bde5f,Ethical,283,5,9,24,24,32,10,0,84,0,0,0,4,Engaged
5717abd6-5f8a-465f-a412-2a5bfa11c564,Ethical,43,3,3,2,3,4,3,0,12,0,1,0,1,Prudent
5be41bbb-503a-4a8c-a513-682f63de00a5,Dark,45,2,2,2,2,2,11,1,5,0,0,0,1,Prudent
6256d4b2-a7ef-479a-9793-0c1735f25e85,Dark,50,3,4,2,2,3,5,1,13,0,0,0,1,Prudent
6b0900c8-6e37-4b5e-82cb-0a054540c6c3,Ethical,36,2,2,3,3,5,0,0,11,0,0,0,1,Prudent
6dbe7567-822c-4848-8772-826ffb43a6a0,Ethical,131,4,5,5,5,5,30,0,21,0,0,0,1,Prudent
6f93687d-542d-42aa-9495-bb579b2a193e,Dark,141,4,4,4,4,7,37,4,21,0,0,0,1,Prudent
707a0648-f3ca-4d06-9b48-dab8e2a8b5af,Ethical,383,7,12,20,22,31,51,0,89,0,2,3,4,Engaged
72d999af-07ec-4415-974c-abf642c86538,Ethical,177,4,7,12,12,17,12,0,43,0,0,0,3,Recreational
786b63d8-fe84-4031-90a0-ae201c76a678,Ethical,73,2,2,4,5,8,5,0,24,0,1,1,1,Prudent
7ae04994-1f9b-4233-9c51-0cee3bf1320c,Dark,321,6,8,14,14,25,81,12,35,0,0,0,2,Highly Engaged
7def8a4d-8255-48b8-886f-191aec185e55,Ethical,106,3,4,8,8,15,0,0,35,0,0,1,3,Recreational
7fb7c051-b362-40f7-8efa-2f2a7dc6206a,Dark,424,6,6,16,16,28,121,13,50,0,0,0,2,Highly Engaged
86bc0ab8-10fd-4530-a85f-e9692caa6516,Ethical,216,5,9,12,12,19,25,0,47,0,0,0,3,Recreational
8777ceeb-c0fe-4f78-8e86-dd5428507c32,Dark,241,5,6,11,11,25,53,4,43,0,0,0,3,Recreational
8d479225-84cc-4d0f-b3e6-3f61a2764b26,Dark,403,6,12,9,9,15,116,32,35,0,0,3,2,Highly Engaged
8df5a4ae-de1e-4a38-a512-df8910505396,Dark,511,5,8,24,24,43,110,27,83,0,0,2,2,Highly Engaged
9ad14b84-d581-426b-967c-9359c7b533f7,Ethical,222,5,6,13,16,28,22,0,52,0,3,0,4,Engaged
a040f35e-2eff-400f-bcd2-ac2f4611e6da,Dark,262,4,7,9,9,20,63,21,34,0,0,1,3,Recreational
a7f1c0d2-9e34-4b88-8c21-0fd6b2e54a90,Ethical,169,6,9,9,10,13,17,0,36,0,1,0,3,Recreational
b9119b29-1ad9-4429-a3d5-576d7e597947,Ethical,165,4,5,10,11,18,12,0,40,0,1,2,3,Recreational
c8171d1d-2e75-491c-be09-34bf9df581ff,Dark,232,4,5,10,10,19,60,8,29,0,0,0,3,Recreational
c8e5acc0-ddb4-478d-ad73-5654826e7355,Dark,178,4,5,6,6,12,48,10,17,0,0,0,1,Prudent
c99842c8-51e7-420e-b187-6cd2bbbd2242,Ethical,149,4,6,6,6,9,21,0,35,0,0,1,3,Recreational
d6692bfa-902b-4f99-997c-e8e794a36d21,Dark,70,1,1,6,6,9,8,2,16,0,0,0,1,Prudent
e0ce78ab-5c37-4015-a43e-0327eca7d411,Dark,376,3,4,7,7,13,140,17,21,0,0,0,2,Highly Engaged
e325cae0-ec05-405b-b39e-9d316f5a4c15,Dark,661,6,9,27,27,47,174,39,90,0,0,2,2,Highly Engaged
e53f6300-8b8a-4b7d-9acc-007b67a1a6bc,Ethical,168,5,8,6,6,10,33,0,18,0,0,1,3,Recreational
e7e0cf4f-0487-427f-9edd-f5f7427b1058,Dark,18,1,1,2,2,5,0,0,5,0,0,0,1,Prudent
ee0da921-8d1f-4bfa-bef0-375bda8d63b6,Ethical,96,3,4,7,8,14,0,0,31,0,1,0,3,Recreational
fcc80b9b-7241-4507-b3be-27e2268750fd,Ethical,13,1,1,1,1,1,0,0,5,0,0,0,1,Prudent
fda732af-1a91-41d6-b91e-15ee3098151f,Ethical,64,3,3,4,4,5,7,0,14,0,0,0,1,Prudent
fe0798a3-83e9-44d2-95a1-221b586c3572,Dark,587,5,6,17,17,27,195,26,55,0,0,1,2,Highly Engaged
